Tematica,Indicador,Titulo,Enlace,Otros
europeas,Participación,Participación electoral en Canarias. Parlamento Europeo,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=parlamento_europeo,
europeas,Resultados,Resultados de elecciones al Parlamento Europeo,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/PARLAMENTO_EUROPEO_2019/visualization/table,
congreso,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
congreso,Participación,Participación electoral en Canarias. Congreso,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=congreso,
congreso,Resultados,Resultados de elecciones al Congreso,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/CONGRESO_2019_NOVIEMBRE/visualization/table,
senado,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
senado,Participación,Participación electoral en Canarias. Senado,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=senado,
senado,Resultados,Resultados de elecciones al Senado,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/SENADO_2019_NOVIEMBRE/visualization/table,
autonomicas,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
autonomicas,Participación,Participación electoral en Canarias. Autonómicas,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=autonomicas,
autonomicas,Resultados,Resultados de elecciones Autonómicas,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/AUTONOMICAS_2019_REGIONALES/visualization/table,
cabildo,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
cabildo,Participación,Participación electoral en Canarias. Cabildo,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=cabildo,
cabildo,Resultados,Resultados de elecciones al Cabildo,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/CABILDO_2019/visualization/table,
municipales,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
municipales,Participación,Participación electoral en Canarias. Municipales,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=municipales,
municipales,Resultados,Resultados de elecciones Municipales,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/MUNICIPALES_2019/visualization/table,
parque_vehiculos,Tema,Transporte terrestre,http://www.gobiernodecanarias.org/istac/estadisticas/sectorservicios/transporte/terrestre/,Transporte terrestre
parque_vehiculos,Indicador principal,Parque de vehículos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARQUE_VEHICULOS#visualization/table,Indicador principal
parque_vehiculos,Indicadores principales,Parque de vehículos. Turismos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARQUE_VEHICULOS_TURISMOS#visualization/table,Turismos
parque_vehiculos,Indicadores principales,Parque de vehículos. Gasolina y diesel,NA,Gasolina + diesel
parque_vehiculos,Indicadores principales,Parque de vehículos. Eléctricos,NA,Eléctricos
